run_id	target	section	technique	eval_type	words_before	words_after	score_a	score_b	delta_ab	fast_fail	decision	wall_clock_s
run38_exp5	memory	Common Failures ordering	RESTRUCTURE	info_retrieval	1839	1839	1.0	1.0	0.0	false	KEEP	110
run38_exp6	eod-refresh	Phase descriptions	REWORD	output_quality	227	207	1.0	1.0	0.0	false	KEEP	85
run38_exp7	memory	Common Failures register example	ADD	info_retrieval	1839	1870	1.0	0.9	+0.1	false	KEEP	120
run38_exp8	eod-refresh	Phase completion signals	ADD	output_quality	207	231	1.0	0.33	+0.67	false	KEEP	85
run38_exp9	nervous-system	Common Failures STUCK example	ADD	info_retrieval	1025	1041	0.875	0.875	0.0	false	KEEP	90
run38_exp10	device	Tool Factory	REWORD	info_retrieval	1230	1227	1.0	1.0	0.0	false	KEEP	85
run39_exp1	spine	Directory Map	RESTRUCTURE	info_retrieval	976	970	1.0	1.0	0.0	false	KEEP	90
run39_exp2	device	Delegation Protocols	RESTRUCTURE	info_retrieval	1227	1227	1.0	1.0	0.0	false	KEEP	85
run39_exp3	brain	Prediction Template	COMPRESS	info_retrieval	1369	1352	1.0	1.0	0.0	false	KEEP	110
run39_exp4	nervous-system	Loop 4 Delegation	REWORD	info_retrieval	1041	1050	1.0	1.0	0.0	false	KEEP	85
run39_exp5	heart	Experiment Signals	REMOVE	info_retrieval	4037	3993	1.0	1.0	0.0	false	KEEP	100
run39_exp6	eyes	Competitive Trends	ADD	info_retrieval	1079	1103	1.0	1.0	0.0	false	KEEP	90
run39_exp7	richard-style-slack	What Richard Shares Unprompted	REWORD	output_quality	1132	1163	0.92	0.92	0.0	false	KEEP	95
run39_exp8	memory	Key Decisions/Positions	ADD	info_retrieval	1870	1888	1.0	0.917	+0.083	false	KEEP	120
run39_exp9	amcc	Escalation Ladder worked example	ADD	info_retrieval	2120	2213	1.0	0.75	+0.25	false	KEEP	100
run39_exp10	gut	Extraction Rules	REWORD	info_retrieval	2218	2192	1.0	1.0	0.0	false	KEEP	85
run40_exp1	audit-asana-writes	Batch handling	ADD	output_quality	177	207	1.0	1.0	0.0	false	KEEP	120
run40_exp2	eod-refresh	Common failures ordering	RESTRUCTURE	output_quality	231	235	1.0	1.0	0.0	false	KEEP	130
run40_exp3	richard-style-docs	Common Failures (new)	ADD	output_quality	670	749	1.0	0.9	+0.1	false	KEEP	140
run40_exp4	gut	Extraction Rules worked example	ADD	info_retrieval	2192	2236	1.0	0.9	+0.1	false	KEEP	150
run40_exp5	richard-style-mbr	Data Rules confidence signal	ADD	output_quality	464	499	1.0	0.75	+0.25	false	KEEP	140
run40_exp6	richard-style-email	Common Failures ordering	RESTRUCTURE	output_quality	552	552	1.0	1.0	0.0	false	KEEP	130
run40_exp7	eod-refresh	Phases 1+2 merge	MERGE	output_quality	235	232	0.25	1.0	-0.75	false	REVERT	140
run40_exp8	richard-style-amazon	Data+Analytical merge	MERGE	output_quality	940	927	1.0	1.0	0.0	false	KEEP	150
run40_exp9	richard-style-email	Sentence-Level Patterns subsections	SPLIT	output_quality	552	561	1.0	0.875	+0.125	false	KEEP	140
run40_exp10	nervous-system	Loop 8 Source Quality Filter	REMOVE	info_retrieval	1050	1025	0.7	1.0	-0.3	false	REVERT	150
run41_exp1	heart	Step 1: Select Target	RESTRUCTURE	info_retrieval	3993	3913	1.0	0.9	+0.1	false	KEEP	120
run41_exp2	heart	The Metric / Experiment Signals	REWORD	info_retrieval	3913	3712	0.9	1.0	-0.1	false	REVERT	130
run41_exp3	nervous-system	Calibration Loops summary	ADD	info_retrieval	1050	1180	1.0	0.9	+0.1	false	KEEP	130
run41_exp4	memory	Caroline Miller meeting dynamic	ADD	info_retrieval	1888	1913	1.0	0.833	+0.167	false	KEEP	140
run41_exp5	amcc	Trigger Detection table	COMPRESS	info_retrieval	2213	2107	0.75	1.0	-0.25	false	REVERT	130
run41_exp6	nervous-system	Loop 9 Meeting Communication	SPLIT	info_retrieval	1180	1177	1.0	1.0	+0.0	false	KEEP	120
run41_exp7	heart	Key Queries Reference	REMOVE	info_retrieval	3913	3876	1.0	1.0	+0.0	false	KEEP	130
