Suggested Negative,Triggered Keyword,Campaign,Ad Group,How It Matched,Impressions,Clicks,Cost,CPC,Keyword Regs,Reason
merkandi australia,"""bulk distributor""",AU_Generic,Bulk_Distributors_Phrase,Phrase match (close variant),25,7,46.37,6.62,0,Close variant leakage on zero-reg keyword
cheap bulk buys australia,"""bulk distributor""",AU_Generic,Bulk_Distributors_Phrase,Phrase match (close variant),21,6,44.89,7.48,0,Close variant leakage on zero-reg keyword
alibaba wholesale,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),18,4,44.6,11.15,0,Close variant leakage on zero-reg keyword
takeaway containers,[commercial take out containers],AU_Generic_P-V_Food,Kitchen Tools_Exact,Exact match (close variant),111,13,42.94,3.3,0,Close variant leakage on zero-reg keyword
amazon business discount,"""amazon business cost""",AU_Brand_Phrase,Pure_ Phrase,Phrase match (close variant),11,4,42.65,10.66,0,Close variant leakage on zero-reg keyword
desk accessories,[office accessories],AU_Generic_P-V_Office,Office_Exact,Exact match (close variant),160,10,42.51,4.25,0,Close variant leakage on zero-reg keyword
bulk easter eggs,[easter egg bulk buy],AU_Generic_P-V_Food,Sweets_Bulk_Exact,Exact match (close variant),95,9,41.88,4.65,0,Close variant leakage on zero-reg keyword
bulk buy,[buy bulk],AU_Generic,Bulk_Buy_Exact,Exact match (close variant),76,6,41.68,6.95,0,Close variant leakage on zero-reg keyword
amazon business account vs personal,[amazon business account vs personal],AU_Brand_Exact,Account_Exact,Exact match,26,3,38.52,12.84,0,High spend on zero-reg keyword
floor cleaner,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match (close variant),34,8,38.0,4.75,0,Close variant leakage on zero-reg keyword
dropshipping suppliers,"""distributor companies""",AU_Generic,Distributors_Enterprises_Phrase,Phrase match (close variant),22,5,37.76,7.55,0,Close variant leakage on zero-reg keyword
dog grooming supplies wholesale australia,"""bulk pet supplies""",AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,Phrase match (close variant),15,6,37.68,6.28,0,Close variant leakage on zero-reg keyword
bulk cleaning supplies,[bulk cleaning supplies],AU_Generic_P-V_Janitorial,Supply_Bulk_Exact,Exact match,119,11,37.24,3.39,0,High spend on zero-reg keyword
bulk shampoo and conditioner,"""bulk shampoo""",AU_Generic_P-V_Beauty,Hair-Styling_Bulk_Phrase,Phrase match,59,9,37.16,4.13,0,High spend on zero-reg keyword
bulk paper plates,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),40,6,36.76,6.13,0,Close variant leakage on zero-reg keyword
bulk paper plates,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),40,6,36.76,6.13,0,Close variant leakage on zero-reg keyword
dropshipping suppliers,"""suppliers purchases""",AU_Generic,Suppliers_Products_Phrase,Phrase match (close variant),13,3,36.65,12.22,0,Close variant leakage on zero-reg keyword
filing cabinets,"""office filing system""",AU_Generic_P-V_Office,Office_Phrase,Phrase match (close variant),78,6,36.52,6.09,0,Close variant leakage on zero-reg keyword
best place to buy bulk food online australia,"""buy bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match,34,6,36.39,6.07,0,High spend on zero-reg keyword
amazon business prime australia,[au amazon business prime],AU_Brand_Exact,Prime_Exact,Exact match (close variant),4,2,35.74,17.87,0,Close variant leakage on zero-reg keyword
cheap bulk chocolate australia,"""bulk chocolate""",AU_Generic_P-V_Food,Food_Bulk_Phrase,Phrase match,60,12,35.71,2.98,0,High spend on zero-reg keyword
toilet paper bulk,"""toilet tissue distributor""",AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,Phrase match (close variant),20,3,35.63,11.88,0,Close variant leakage on zero-reg keyword
wholesalers,[wholesaler],AU_Generic,Wholesalers_Exact,Exact match (close variant),33,4,35.32,8.83,0,Close variant leakage on zero-reg keyword
wholesale packaging supplies sydney,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),4,2,35.26,17.63,0,Close variant leakage on zero-reg keyword
bulk dog food,"""bulk pet supplies""",AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,Phrase match (close variant),81,6,35.12,5.85,0,Close variant leakage on zero-reg keyword
dropshipping suppliers,"""wholesaler""",AU_Generic,Wholesalers_Phrase,Phrase match (close variant),10,2,34.96,17.48,0,Close variant leakage on zero-reg keyword
company merch,[company items],AU_Generic,Enterprises_Products_Exact,Exact match (close variant),7,3,33.96,11.32,0,Close variant leakage on zero-reg keyword
free dropshipping suppliers australia,"""suppliers companies""",AU_Generic,Suppliers_Enterprises_Phrase,Phrase match (close variant),4,4,33.64,8.41,0,Close variant leakage on zero-reg keyword
amazon fba wholesale distributors,"""b2b distribution""",AU_Generic,B2B_Enterprise_Phrase,Phrase match (close variant),1,2,33.3,16.65,0,Close variant leakage on zero-reg keyword
start up bakery equipment,"""products start-ups""",AU_Generic,Enterprises_Products_Phrase,Phrase match (close variant),1,2,32.8,16.4,0,Close variant leakage on zero-reg keyword
dropshipping suppliers australia,"""suppliers purchases""",AU_Generic,Suppliers_Products_Phrase,Phrase match (close variant),9,4,32.3,8.07,0,Close variant leakage on zero-reg keyword
wholesale books,[order books in bulk],AU_Generic_P-V_Shops,Book Shop_Bulk_Exact,Exact match (close variant),34,8,32.21,4.03,0,Close variant leakage on zero-reg keyword
cleaning products,[cleaning products],AU_Generic_P-V_Janitorial,Products_Exact,Exact match,165,7,32.11,4.59,0,High spend on zero-reg keyword
desk mat,"""home office supplies""",AU_Generic_P-V_Office,Home-Office_Phrase,Phrase match (close variant),113,8,32.02,4.0,0,Close variant leakage on zero-reg keyword
cleaning products bulk,[bulk cleaning],AU_Generic_P-V_Janitorial,Products_Bulk_Exact,Exact match (close variant),10,4,31.99,8.0,0,Close variant leakage on zero-reg keyword
promotional merchandise,[company items],AU_Generic,Enterprises_Products_Exact,Exact match (close variant),16,4,31.7,7.93,0,Close variant leakage on zero-reg keyword
best dropshipping suppliers australia,"""suppliers companies""",AU_Generic,Suppliers_Enterprises_Phrase,Phrase match (close variant),23,3,31.35,10.45,0,Close variant leakage on zero-reg keyword
wholesale sublimation blanks australia,"""wholesale merchandise""",AU_Generic,Wholesales_Products_Phrase,Phrase match (close variant),2,3,31.17,10.39,0,Close variant leakage on zero-reg keyword
under desk cable management,"""desk equipment""",AU_Generic_P-V_Office,Products_Phrase,Phrase match (close variant),45,6,31.06,5.18,0,Close variant leakage on zero-reg keyword
wholesalers,[wholesale suppliers],AU_Generic,Wholesales_Suppliers_Exact,Exact match (close variant),9,3,30.87,10.29,0,Close variant leakage on zero-reg keyword
business cards online,[business cards],AU_Generic,Office Supplies_Exact,Exact match (close variant),29,3,30.86,10.29,0,Close variant leakage on zero-reg keyword
bulk clothing,[clothing bulk],AU_Generic_P-V_Shops,Clothing_Bulk_Exact,Exact match (close variant),20,5,30.45,6.09,0,Close variant leakage on zero-reg keyword
wholesale book suppliers australia,"""wholesaler au""",AU_Generic,Wholesalers_Phrase,Phrase match (close variant),6,3,29.71,9.9,0,Close variant leakage on zero-reg keyword
warehouse supplies,"""equipment for companies""",AU_Generic,Enterprises_Products_Phrase,Phrase match (close variant),9,2,29.33,14.67,0,Close variant leakage on zero-reg keyword
filing cabinet officeworks,"""office filing system""",AU_Generic_P-V_Office,Office_Phrase,Phrase match (close variant),52,5,29.05,5.81,0,Close variant leakage on zero-reg keyword
activewear manufacturer australia,"""wholesale sportswear""",AU_Generic_P-V_Apparel,Sportware_Wholesales_Phrase,Phrase match (close variant),15,4,28.57,7.14,0,Close variant leakage on zero-reg keyword
bulk paper towel,[bulk paper towels],AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,Exact match (close variant),50,4,28.5,7.13,0,Close variant leakage on zero-reg keyword
bulk paper towel,[bulk paper towels],AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,Exact match (close variant),50,4,28.5,7.13,0,Close variant leakage on zero-reg keyword
bulk drink bottles,[water bottles wholesale],AU_Generic_P-V_Food,Drinks_Bulk_Exact,Exact match (close variant),20,5,28.49,5.7,0,Close variant leakage on zero-reg keyword
bulk laundry detergent,[bulk detergent],AU_Generic_P-V_Janitorial,Detergent_Bulk_Exact,Exact match (close variant),46,6,27.93,4.66,0,Close variant leakage on zero-reg keyword
business sales,"""companies business""",AU_Generic,Enterprises_Shop_Phrase,Phrase match (close variant),41,3,27.84,9.28,0,Close variant leakage on zero-reg keyword
bulk martini glasses,[bulk martini glasses],AU_Generic_P-V_Food,Glassware_Bulk_Exact,Exact match,2,2,27.75,13.88,0,Review — low relevance signal
cheapest toilet rolls wholesale,"""wholesale toilet paper""",AU_Generic_P-V_Janitorial,Paper_Wholesale_Phrase,Phrase match (close variant),21,5,27.73,5.55,0,Close variant leakage on zero-reg keyword
alibaba wholesale,"""bulk distributor""",AU_Generic,Bulk_Distributors_Phrase,Phrase match (close variant),25,2,27.15,13.58,0,Close variant leakage on zero-reg keyword
cafe crockery wholesale,"""wholesale dinnerware sets""",AU_Generic_P-V_Food,Cultlery_Wholesale_Phrase,Phrase match (close variant),1,2,27.12,13.56,0,Close variant leakage on zero-reg keyword
wholesale takeaway containers,[wholesale take out containers],AU_Generic_P-V_Food,Kitchen Tools_Wholesale_Exact,Exact match (close variant),7,2,26.97,13.49,0,Close variant leakage on zero-reg keyword
bulk nappies,"""bulk baby accessories""",AU_Generic_P-V_Apparel,Accessories Baby_Bulk_Phrase,Phrase match (close variant),31,7,26.89,3.84,0,Close variant leakage on zero-reg keyword
liquidation wholesalers,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),2,2,26.89,13.45,0,Close variant leakage on zero-reg keyword
cheap bulk food online,"""bulk goods""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),11,4,26.63,6.66,0,Close variant leakage on zero-reg keyword
commercial cleaning products,[commercial cleaning supply],AU_Generic_P-V_Shops,Catalog_Exact,Exact match (close variant),20,3,26.61,8.87,0,Close variant leakage on zero-reg keyword
bulk pantry items,"""products in large quantities""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),11,4,26.51,6.63,0,Close variant leakage on zero-reg keyword
agar cleaning products,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match,57,5,26.43,5.29,0,"Multiple clicks, zero-reg keyword"
desk organisers,"""desk equipment""",AU_Generic_P-V_Office,Products_Phrase,Phrase match (close variant),56,5,26.12,5.22,0,Close variant leakage on zero-reg keyword
bulk hand soap,"""bulk hand soaps""",AU_Generic_P-V_Janitorial,Soap_Bulk_Phrase,Exact match (close variant),28,4,26.08,6.52,0,Close variant leakage on zero-reg keyword
wholesale drinks suppliers,[drinks wholesale market],AU_Generic_P-V_Food,Wholesales_Food_Exact,Exact match (close variant),11,5,25.91,5.18,0,Close variant leakage on zero-reg keyword
drop shipping suppliers australia,"""suppliers companies""",AU_Generic,Suppliers_Enterprises_Phrase,Phrase match (close variant),27,4,25.9,6.48,0,Close variant leakage on zero-reg keyword
small business,"""companies business""",AU_Generic,Enterprises_Shop_Phrase,Phrase match (close variant),28,3,25.58,8.53,0,Close variant leakage on zero-reg keyword
bulk buying,[bulk suppliers],AU_Generic,Bulk_Suppliers_Exact,Exact match (close variant),23,3,25.52,8.51,0,Close variant leakage on zero-reg keyword
wholesale food suppliers to the public,[foods wholesalers],AU_Generic_P-V_Food,Food_Wholesalers_Exact,Exact match (close variant),17,4,25.34,6.34,0,Close variant leakage on zero-reg keyword
bulk chewing gum,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),6,2,25.28,12.64,0,Close variant leakage on zero-reg keyword
bulk bottle openers,[bulk bottle openers],AU_Generic_P-V_Food,Barware_Bulk_Exact,Exact match,3,2,25.03,12.52,0,Review — low relevance signal
bulk cleaning products,[bulk cleaning],AU_Generic_P-V_Janitorial,Products_Bulk_Exact,Exact match (close variant),39,4,24.76,6.19,0,Close variant leakage on zero-reg keyword
bulk glass containers,[jars bulk],AU_Generic_P-V_Food,Plates_Bulk_Exact,Exact match (close variant),2,2,24.72,12.36,0,Close variant leakage on zero-reg keyword
bulk buy groceries,"""buy bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match,15,3,24.71,8.24,0,Review — low relevance signal
toilet paper bulk buy,"""toilet tissue distributor""",AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,Phrase match (close variant),4,2,24.7,12.35,0,Close variant leakage on zero-reg keyword
buying dates in bulk,"""bulk dried fruit""",AU_Generic_P-V_Food,Food_Bulk_Phrase,Phrase match (close variant),1,2,24.64,12.32,0,Close variant leakage on zero-reg keyword
commercial kitchen equipment,"""equipment for companies""",AU_Generic,Enterprises_Products_Phrase,Phrase match (close variant),30,2,24.63,12.32,0,Close variant leakage on zero-reg keyword
wholesale candle jars australia,"""wholesaler au""",AU_Generic,Wholesalers_Phrase,Phrase match (close variant),3,2,24.58,12.29,0,Close variant leakage on zero-reg keyword
lolly bags bulk,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),6,3,24.44,8.15,0,Close variant leakage on zero-reg keyword
bay leaves in bulk,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),2,2,24.29,12.15,0,Close variant leakage on zero-reg keyword
wholesale homewares australia,"""wholesaler au""",AU_Generic,Wholesalers_Phrase,Phrase match,9,2,24.24,12.12,0,Review — low relevance signal
bulk frames,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),5,2,24.21,12.11,0,Close variant leakage on zero-reg keyword
clothing manufacturers for startups australia,"""apparel suppliers""",AU_Generic_P-V_Shops,Suppliers_Clothing_Phrase,Phrase match (close variant),8,3,24.17,8.06,0,Close variant leakage on zero-reg keyword
bulk suppliers australia,"""wholesale other""",AU_Generic_P-V_Apparel,Hosiery & Socks_Wholesales_Phrase,Phrase match (close variant),26,4,23.59,5.9,0,Close variant leakage on zero-reg keyword
buy bulk food,[wholesale foodstuffs],AU_Generic_P-V_Food,Wholesales_Food_Exact,Exact match (close variant),10,5,23.49,4.7,0,Close variant leakage on zero-reg keyword
wholesale mugs,"""wholesale items""",AU_Generic,Wholesales_Products_Phrase,Phrase match (close variant),1,2,23.34,11.67,0,Close variant leakage on zero-reg keyword
merkandi australia,"""purchasing bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match (close variant),8,4,23.32,5.83,0,Close variant leakage on zero-reg keyword
best place to buy bulk food online australia,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),40,5,23.07,4.61,0,Close variant leakage on zero-reg keyword
office accessories,[office accessories],AU_Generic_P-V_Office,Office_Exact,Exact match,34,5,22.92,4.58,0,"Multiple clicks, zero-reg keyword"
bulk toilet paper australia,"""bulk toilet paper""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match,72,6,22.88,3.81,0,"Multiple clicks, zero-reg keyword"
candle wholesale australia,"""wholesaler au""",AU_Generic,Wholesalers_Phrase,Phrase match,4,3,22.88,7.63,0,Review — low relevance signal
china wholesale market online,"""wholesale purchases""",AU_Generic,Wholesales_Buy_Phrase,Phrase match (close variant),6,3,22.85,7.62,0,Close variant leakage on zero-reg keyword
bulk chips,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),23,2,22.78,11.39,0,Close variant leakage on zero-reg keyword
office desk,"""office equipment""",AU_Generic_P-V_Office,Office_Phrase,Phrase match (close variant),88,6,22.73,3.79,0,Close variant leakage on zero-reg keyword
fragrance wholesale australia,"""wholesaler au""",AU_Generic,Wholesalers_Phrase,Phrase match,8,2,22.67,11.34,0,Review — low relevance signal
merkandi australia,"""bulk seller""",AU_Generic,Bulk_Sellers_Phrase,Phrase match (close variant),8,2,22.56,11.28,0,Close variant leakage on zero-reg keyword
bulk paper towels,[bulk paper towels],AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,Exact match,12,4,22.54,5.64,0,Review — low relevance signal
bulk paper towels,[bulk paper towels],AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,Exact match,12,4,22.54,5.64,0,Review — low relevance signal
lawn bowls clothing suppliers,"""sportswear suppliers""",AU_Generic_P-V_Apparel,Sportware_Suppliers_Phrase,Phrase match (close variant),11,3,22.53,7.51,0,Close variant leakage on zero-reg keyword
bulk toilet paper australia,"""toilet paper distributor""",AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,Phrase match (close variant),30,4,22.45,5.61,0,Close variant leakage on zero-reg keyword
wholesale soap supplies australia,"""soap supplier""",AU_Generic_P-V_Janitorial,Soap_Supplier_Phrase,Phrase match (close variant),27,5,22.43,4.49,0,Close variant leakage on zero-reg keyword
paper towel bulk,[bulk paper towels],AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,Exact match (close variant),43,3,22.28,7.43,0,Close variant leakage on zero-reg keyword
paper towel bulk,[bulk paper towels],AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,Exact match (close variant),43,3,22.28,7.43,0,Close variant leakage on zero-reg keyword
wholesale distributors australia,"""wholesaler""",AU_Generic,Wholesalers_Phrase,Phrase match,4,2,22.18,11.09,0,Review — low relevance signal
bulk buys australia,"""bulk distributor""",AU_Generic,Bulk_Distributors_Phrase,Phrase match (close variant),42,3,22.18,7.39,0,Close variant leakage on zero-reg keyword
buy in bulk,[bulk for shop],AU_Generic_P-V_Shops,Bulk_Exact,Exact match (close variant),38,6,22.13,3.69,0,Close variant leakage on zero-reg keyword
bulk buy towels,"""bulk seller""",AU_Generic,Bulk_Sellers_Phrase,Phrase match (close variant),4,3,22.1,7.37,0,Close variant leakage on zero-reg keyword
pilbara shirts wholesale,"""clothing wholesalers""",AU_Generic_P-V_Shops,Wholesale_Clothing,Phrase match (close variant),6,3,21.97,7.32,0,Close variant leakage on zero-reg keyword
bulk mini eggs,"""easter egg bulk buy""",AU_Generic_P-V_Food,Sweets_Bulk_Phrase,Phrase match (close variant),15,5,21.89,4.38,0,Close variant leakage on zero-reg keyword
blank t shirts wholesale australia,"""clothing wholesalers""",AU_Generic_P-V_Shops,Wholesale_Clothing,Phrase match (close variant),11,2,21.8,10.9,0,Close variant leakage on zero-reg keyword
bulk toilet paper australia,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),33,5,21.64,4.33,0,Close variant leakage on zero-reg keyword
bulk toilet paper australia,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),33,5,21.64,4.33,0,Close variant leakage on zero-reg keyword
bulk chocolate australia,"""bulk chocolate""",AU_Generic_P-V_Food,Food_Bulk_Phrase,Phrase match,49,6,21.57,3.6,0,"Multiple clicks, zero-reg keyword"
desk mats australia,"""desk equipment""",AU_Generic_P-V_Office,Products_Phrase,Phrase match (close variant),24,5,21.47,4.29,0,Close variant leakage on zero-reg keyword
wholesale hoodies australia,"""wholesale casual""",AU_Generic_P-V_Apparel,Dresses_Wholesales_Phrase,Phrase match (close variant),24,4,21.21,5.3,0,Close variant leakage on zero-reg keyword
bottega moda wholesale online,"""clothing wholesalers""",AU_Generic_P-V_Shops,Wholesale_Clothing,Phrase match (close variant),3,2,21.2,10.6,0,Close variant leakage on zero-reg keyword
bikini manufacturer australia,"""bikinis suppliers""",AU_Generic_P-V_Apparel,Swimwear_Suppliers_Phrase,Phrase match (close variant),7,3,21.19,7.06,0,Close variant leakage on zero-reg keyword
corporate merchandise,[company items],AU_Generic,Enterprises_Products_Exact,Exact match (close variant),12,2,21.16,10.58,0,Close variant leakage on zero-reg keyword
up and go wholesale,"""wholesale merchandise""",AU_Generic,Wholesales_Products_Phrase,Phrase match (close variant),1,2,21.04,10.52,0,Close variant leakage on zero-reg keyword
wholesale drinks suppliers,[drinks wholesaler],AU_Generic_P-V_Food,Wholesalers_Food_Exact,Exact match (close variant),6,3,20.99,7.0,0,Close variant leakage on zero-reg keyword
filing drawers,"""office filing system""",AU_Generic_P-V_Office,Office_Phrase,Phrase match (close variant),12,3,20.97,6.99,0,Close variant leakage on zero-reg keyword
toilet paper bulk,[bulk commercial toilet paper],AU_Generic_P-V_Janitorial,Paper_Bulk_Exact,Exact match (close variant),41,4,20.95,5.24,0,Close variant leakage on zero-reg keyword
wholesale energy drinks,"""wholesale drinks""",AU_Generic_P-V_Food,Food_Wholesale_Phrase,Phrase match,7,3,20.77,6.92,0,Review — low relevance signal
wholesale hair extensions australia,"""human hair suppliers""",AU_Generic_P-V_Beauty,Hair-Appliances_Supplier_Phrase,Phrase match (close variant),8,3,20.68,6.89,0,Close variant leakage on zero-reg keyword
up and go bulk buy,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),19,4,20.66,5.17,0,Close variant leakage on zero-reg keyword
where can i buy travel size toiletries in bulk,"""bulk goods""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),1,2,20.64,10.32,0,Close variant leakage on zero-reg keyword
dog food in bulk,"""bulk pet supplies""",AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,Phrase match (close variant),5,4,20.58,5.15,0,Close variant leakage on zero-reg keyword
bulk plastic tubs,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),1,2,20.56,10.28,0,Close variant leakage on zero-reg keyword
bulk cleaning supplies near me,"""bulk cleaning""",AU_Generic_P-V_Janitorial,Products_Bulk_Phrase,Phrase match,24,4,20.53,5.13,0,Review — low relevance signal
toilet roll in bulk,"""toilet tissue distributor""",AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,Phrase match (close variant),4,2,20.51,10.26,0,Close variant leakage on zero-reg keyword
bulk tissue paper for packaging,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),14,3,20.5,6.83,0,Close variant leakage on zero-reg keyword
bulk tissue paper for packaging,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),14,3,20.5,6.83,0,Close variant leakage on zero-reg keyword
commercial steam cleaner,"""industrial cleaning products""",AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,Phrase match (close variant),26,3,20.49,6.83,0,Close variant leakage on zero-reg keyword
wholesale australia,"""wholesale merchandise""",AU_Generic,Wholesales_Products_Phrase,Phrase match (close variant),4,2,20.48,10.24,0,Close variant leakage on zero-reg keyword
bulk straws,[bulk straws],AU_Generic_P-V_Food,Barware_Bulk_Exact,Exact match,11,2,20.36,10.18,0,Review — low relevance signal
drop shipping suppliers,"""suppliers companies""",AU_Generic,Suppliers_Enterprises_Phrase,Phrase match (close variant),2,2,20.32,10.16,0,Close variant leakage on zero-reg keyword
soap in bulk,[wholesale soap],AU_Generic_P-V_Janitorial,Soap_Wholesale_Exact,Exact match (close variant),2,2,20.32,10.16,0,Close variant leakage on zero-reg keyword
bulk food supplies,"""products in large quantities""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),8,2,20.31,10.15,0,Close variant leakage on zero-reg keyword
bulk items,[bulk products],AU_Generic,Bulk_Products_Exact,Exact match (close variant),3,2,20.31,10.15,0,Close variant leakage on zero-reg keyword
bulk buy flour,"""products in large quantities""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),8,3,20.31,6.77,0,Close variant leakage on zero-reg keyword
coffee machine sale,[coffee machines sellers],AU_Generic_P-V_Food,Coffee Machines_Sellers_Exact,Exact match (close variant),98,3,20.29,6.76,0,Close variant leakage on zero-reg keyword
wholesale t shirts melbourne,"""t-shirts suppliers""",AU_Generic_P-V_Apparel,Tops_Suppliers_Phrase,Phrase match (close variant),17,3,20.29,6.76,0,Close variant leakage on zero-reg keyword
cadbury wholesale australia,"""chocolate wholesalers""",AU_Generic_P-V_Food,Food_Wholesalers_Phrase,Phrase match (close variant),13,4,20.27,5.07,0,Close variant leakage on zero-reg keyword
