Suggested Negative,Triggered Keyword,Campaign,Ad Group,How It Matched,Impressions,Clicks,Cost,CPC,Keyword Regs,Reason
trituradora de papel,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Distributors_Exact,Exact match (close variant),166,8,18.6,2.33,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Distributors_Exact,Exact match (close variant),166,8,18.6,2.33,0,Close variant leakage on zero-reg keyword
como puedo facturar en amazon,"""como puedo facturar en amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,30,4,18.1,4.53,0,Review — zero-reg keyword spend
facturar tarjetas de regalo amazon,"""como facturar una tarjeta de regalo de amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match (close variant),6,3,17.64,5.88,0,Close variant leakage on zero-reg keyword
proveedores de papeleria mayoreo,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),16,3,17.39,5.8,0,Close variant leakage on zero-reg keyword
como facturar mis compras en amazon,"""como facturar mis compras en amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,15,4,17.38,4.35,0,Review — zero-reg keyword spend
sillas para escritorio,[sillas oficina],MX - Office,Furniture_Exact,Exact match (close variant),101,8,17.29,2.16,0,Close variant leakage on zero-reg keyword
proveedor mayorista,[proveedores para mayoristas],MX - Generic,Wholesales_Suppliers_Exact,Exact match (close variant),9,2,16.99,8.49,0,Close variant leakage on zero-reg keyword
como solicitar factura en amazon,"""como solicitar factura en amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,47,4,16.7,4.18,0,Review — zero-reg keyword spend
silla para escritorio,[sillas oficina],MX - Office,Furniture_Exact,Exact match (close variant),120,12,16.45,1.37,0,Close variant leakage on zero-reg keyword
mesas para restaurante,[mesas para restaurante],MX - Food,Furniture_Restaurant_Exact,Exact match,84,14,16.36,1.17,0,"Multiple clicks, zero-reg keyword"
muebles de oficina,[muebles de oficina],MX - Office,Furniture_Exact,Exact match,50,9,15.8,1.76,0,"Multiple clicks, zero-reg keyword"
se puede facturar en amazon mexico,"""facturar amazon mexico""",MX - Invoice AMZ,Invoice_Phrase,Exact match (close variant),18,4,15.79,3.95,0,Close variant leakage on zero-reg keyword
como facturar de amazon,"""como facturar de amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,7,2,15.37,7.69,0,Review — zero-reg keyword spend
proveedores de papeleria,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),85,12,15.14,1.26,0,Close variant leakage on zero-reg keyword
proveedores de papelería al mayoreo,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),52,6,15.11,2.52,0,Close variant leakage on zero-reg keyword
facturación amazon,[facturación amazon],MX - Invoice AMZ,Invoice_Exact,Exact match,27,5,14.33,2.87,0,"Multiple clicks, zero-reg keyword"
sillas altas para barra,"""sillas de bar""",MX - Food,Furniture_Restaurant_Phrase,Phrase match (close variant),56,4,13.89,3.47,0,Close variant leakage on zero-reg keyword
productos de limpieza,[comprar artículos de limpieza],MX - Janitorial,Purchasing_Supplies_Exact,Exact match (close variant),299,6,13.88,2.31,0,Close variant leakage on zero-reg keyword
como pedir factura en amazon,"""como pedir factura en amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,37,3,13.41,4.47,0,Review — zero-reg keyword spend
muebles para oficina,[muebles para oficina],MX - Office,Office Furniture_Exact,Exact match,112,8,13.38,1.67,0,"Multiple clicks, zero-reg keyword"
papeleria por mayoreo,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),40,3,13.33,4.44,0,Close variant leakage on zero-reg keyword
silla escritorio,[sillas oficina],MX - Office,Furniture_Exact,Exact match (close variant),160,7,13.26,1.89,0,Close variant leakage on zero-reg keyword
proveedor de maquillaje,[proveedor de maquillaje],MX - Beauty,Makeup_Supplier_Exact,Exact match,35,6,12.85,2.14,0,"Multiple clicks, zero-reg keyword"
proveedores de papelería por mayoreo,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),25,6,12.83,2.14,0,Close variant leakage on zero-reg keyword
wherex mexico,"""aprovisionamiento de productos""",MX - Generic,Procurement_Products_Phrase,Phrase match (close variant),18,2,12.67,6.34,0,Close variant leakage on zero-reg keyword
como facturar amazon mexico,"""facturar amazon mexico""",MX - Invoice AMZ,Invoice_Phrase,Exact match (close variant),15,4,12.47,3.12,0,Close variant leakage on zero-reg keyword
facturacion en amazon mexico,"""facturar amazon mexico""",MX - Invoice AMZ,Invoice_Phrase,Exact match (close variant),11,2,12.41,6.21,0,Close variant leakage on zero-reg keyword
articulos de oficina,[material papelería],MX - Office,Products_Exact,Exact match (close variant),25,4,12.28,3.07,0,Close variant leakage on zero-reg keyword
papelerias por mayoreo,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),10,4,12.15,3.04,0,Close variant leakage on zero-reg keyword
tiendas mayoristas en méxico,[mayorista mexico],MX - Generic,Core_Wholesalers_Exact,Exact match (close variant),25,4,11.56,2.89,0,Close variant leakage on zero-reg keyword
proveedores de maquillaje por mayoreo,[proveedor de maquillaje],MX - Beauty,Makeup_Supplier_Exact,Exact match (close variant),27,4,11.54,2.89,0,Close variant leakage on zero-reg keyword
libretas mayoreo,[cuadernos mayorista],MX - Office,Office Supplies_Wholesalers_Exact,Exact match (close variant),24,6,11.53,1.92,0,Close variant leakage on zero-reg keyword
proveedores de bolsas para dama,"""proveedores de accesorios de moda""",MX - Shops,Shops_Suppliers_Accessories_Phrase,Phrase match (close variant),10,3,11.42,3.81,0,Close variant leakage on zero-reg keyword
distribuidores de dulces por mayoreo,[chucherías al por mayor],MX - Generic,Wholesales_Exact,Exact match (close variant),3,2,11.4,5.7,0,Close variant leakage on zero-reg keyword
como facturar compras de amazon,"""cómo facturar en amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match (close variant),3,2,11.23,5.62,0,Close variant leakage on zero-reg keyword
audífonos por mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),24,8,11.23,1.4,0,Close variant leakage on zero-reg keyword
como encontrar proveedores mayoristas,[proveedores para mayoristas],MX - Generic,Wholesales_Suppliers_Exact,Exact match (close variant),16,4,10.94,2.74,0,Close variant leakage on zero-reg keyword
distribuidora de productos de belleza,[productos de belleza al por mayor],MX - Beauty,Makeup_Wholesale_Exact,Exact match (close variant),28,3,10.9,3.63,0,Close variant leakage on zero-reg keyword
barradas equipo para comercios,"""proveedor equipamiento""",MX - Generic,Suppliers_Products_Phrase,Phrase match (close variant),12,3,10.88,3.63,0,Close variant leakage on zero-reg keyword
merch by amazon,"""merch by amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,37,2,10.81,5.41,0,Review — zero-reg keyword spend
silla oficina,[sillas oficina],MX - Office,Furniture_Exact,Exact match (close variant),132,7,10.75,1.54,0,Close variant leakage on zero-reg keyword
tienda de muebles para oficina,[mobiliario para oficinas],MX - Office,Furniture_Exact,Exact match (close variant),2,2,10.59,5.3,0,Close variant leakage on zero-reg keyword
cosas por mayoreo para vender,[venta al por mayor],MX - Generic,Wholesales_Exact,Exact match (close variant),21,5,10.51,2.1,0,Close variant leakage on zero-reg keyword
proveedores de maquillaje,[proveedor de maquillaje],MX - Beauty,Makeup_Supplier_Exact,Exact match (close variant),28,8,10.5,1.31,0,Close variant leakage on zero-reg keyword
venta por mayoreo,[venta al por mayor],MX - Generic,Wholesales_Exact,Exact match (close variant),13,6,10.47,1.75,0,Close variant leakage on zero-reg keyword
proveedores de perfumes,[perfume al por mayor],MX - Beauty,Fragrance_Wholesale_Exact,Exact match (close variant),39,11,10.44,0.95,0,Close variant leakage on zero-reg keyword
articulos promocionales,"""productos para empresas""",MX - Generic,Core_Enterprises_Products_Phrase,Phrase match (close variant),73,5,10.44,2.09,0,Close variant leakage on zero-reg keyword
como sacar factura en amazon,"""como sacar factura en amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,12,2,10.3,5.15,0,Review — zero-reg keyword spend
cómo facturar en amazon,"""cómo facturar en amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,36,6,10.29,1.72,0,"Multiple clicks, zero-reg keyword"
distribuidora de papelería,[comercio al por mayor de artículos de papelería],MX - Office,Wholesales_Exact,Exact match (close variant),36,6,10.11,1.68,0,Close variant leakage on zero-reg keyword
ecommerce como empezar,"""tienda online para negocios""",MX - Generic,Enterprises_Shop_Phrase,Phrase match (close variant),6,3,10.1,3.37,0,Close variant leakage on zero-reg keyword
facturar en amazon mexico,"""facturar amazon mexico""",MX - Invoice AMZ,Invoice_Phrase,Exact match (close variant),16,2,9.76,4.88,0,Close variant leakage on zero-reg keyword
uniformes para restaurantes,"""uniforme para restaurante""",MX - Food,Clothing_Restaurant_Phrase,Exact match (close variant),5,4,9.58,2.4,0,Close variant leakage on zero-reg keyword
aliexpress business,"""tienda online para negocios""",MX - Generic,Enterprises_Shop_Phrase,Phrase match (close variant),14,3,9.49,3.16,0,Close variant leakage on zero-reg keyword
accesorios para oficina,[suministros oficina],MX - Office,Generic_Exact,Exact match (close variant),22,4,9.38,2.35,0,Close variant leakage on zero-reg keyword
escritorios ejecutivos para oficina,[escritorio ejecutivo],MX - Office,Office Furniture_Exact,Exact match (close variant),14,4,9.31,2.33,0,Close variant leakage on zero-reg keyword
donde comprar libretas por mayoreo,[cuadernos mayorista],MX - Office,Office Supplies_Wholesalers_Exact,Exact match (close variant),3,2,9.17,4.59,0,Close variant leakage on zero-reg keyword
maquina de hielos industrial,"""máquinas de hielo profesionales""",MX - Food,Restaurant_Phrase,Exact match (close variant),16,4,8.66,2.17,0,Close variant leakage on zero-reg keyword
donde comprar ropa por mayoreo para vender,[ropa para vender por mayoreo],MX - Apparel,Clothing_Exact,Exact match (close variant),13,7,8.59,1.23,0,Close variant leakage on zero-reg keyword
venta mayoreo,[venta al por mayor],MX - Generic,Wholesales_Exact,Exact match (close variant),18,5,8.52,1.7,0,Close variant leakage on zero-reg keyword
distribuidora de audífonos por mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),6,5,8.5,1.7,0,Close variant leakage on zero-reg keyword
facturar en amazon mexico,"""cómo facturar en amazon""",MX - Invoice AMZ,Invoice_Phrase,Phrase match (close variant),15,2,8.42,4.21,0,Close variant leakage on zero-reg keyword
proveedores de gorras,[distribuidores de gorras],MX - Apparel,Accessories_Distributor_Exact,Exact match (close variant),33,9,8.42,0.94,0,Close variant leakage on zero-reg keyword
como pedir factura en amazon mexico,"""facturar amazon mexico""",MX - Invoice AMZ,Invoice_Phrase,Exact match (close variant),6,2,8.34,4.17,0,Close variant leakage on zero-reg keyword
abasteo mx,"""compras para negocios""",MX - Generic,Enterprises_Buy_Phrase,Phrase match (close variant),22,2,8.26,4.13,0,Close variant leakage on zero-reg keyword
sillas escritorio,[sillas oficina],MX - Office,Furniture_Exact,Exact match (close variant),30,4,8.26,2.07,0,Close variant leakage on zero-reg keyword
donas para el cabello por mayoreo,"""accesorios para el cabello al por mayor""",MX - Shops,Shops_Wholesales_Accessories_Phrase,Phrase match (close variant),2,2,8.2,4.1,0,Close variant leakage on zero-reg keyword
proveedor sudaderas,[comprar sudaderas al por mayor],MX - Apparel,Tops_Wholesales_Exact,Exact match (close variant),4,3,8.2,2.73,0,Close variant leakage on zero-reg keyword
solostocks méxico,"""compras para negocios""",MX - Generic,Enterprises_Buy_Phrase,Phrase match (close variant),6,2,8.12,4.06,0,Close variant leakage on zero-reg keyword
distribucion de herramientas,"""suministro de productos""",MX - Generic,Procurement_Products_Phrase,Phrase match (close variant),8,2,8.12,4.06,0,Close variant leakage on zero-reg keyword
distribuidores mayoristas para revendedores,[proveedores para mayoristas],MX - Generic,Wholesales_Suppliers_Exact,Exact match (close variant),34,2,8.06,4.03,0,Close variant leakage on zero-reg keyword
bolsas de manta mayoreo,"""bolsas de tela al por mayor""",MX - Apparel,Accessories_Wholesales_Phrase,Phrase match (close variant),37,8,8.05,1.01,0,Close variant leakage on zero-reg keyword
diademas mayoreo,"""accesorios para el cabello al por mayor""",MX - Shops,Shops_Wholesales_Accessories_Phrase,Phrase match (close variant),1,2,8.04,4.02,0,Close variant leakage on zero-reg keyword
mesas para cafeteria,"""muebles para cafetería""",MX - Food,Furniture_Restaurant_Phrase,Phrase match (close variant),77,7,7.88,1.13,0,Close variant leakage on zero-reg keyword
airpods g5 mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),7,3,7.86,2.62,0,Close variant leakage on zero-reg keyword
sillas para barra,"""sillas de bar""",MX - Food,Furniture_Restaurant_Phrase,Phrase match (close variant),19,3,7.8,2.6,0,Close variant leakage on zero-reg keyword
productos promocionales para empresas,"""compras para empresas""",MX - Generic,Enterprises_Purchasing_Phrase,Phrase match (close variant),7,2,7.77,3.89,0,Close variant leakage on zero-reg keyword
mobiliario para restaurante,[mobiliario de restaurante],MX - Food,Furniture_Restaurant_Exact,Exact match (close variant),50,8,7.7,0.96,0,Close variant leakage on zero-reg keyword
venta de cosmeticos por mayoreo,[productos de belleza al por mayor],MX - Beauty,Makeup_Wholesale_Exact,Exact match (close variant),9,3,7.5,2.5,0,Close variant leakage on zero-reg keyword
tazas para cafeteria,"""proveedores tazas""",MX - Food,Kitchen Tools_Suppliers_Phrase,Phrase match (close variant),22,5,7.45,1.49,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Office,Office Organization_Procurement_Exact,Exact match (close variant),74,10,7.38,0.74,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Office,Office Organization_Procurement_Exact,Exact match (close variant),74,10,7.38,0.74,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Office,Office Organization_Procurement_Exact,Exact match (close variant),74,10,7.38,0.74,0,Close variant leakage on zero-reg keyword
trituradora de papel,[trituradora de documentos],MX - Office,Office Organization_Procurement_Exact,Exact match (close variant),74,10,7.38,0.74,0,Close variant leakage on zero-reg keyword
donde puedo comprar gorras originales por mayoreo,"""venta mayorista de accesorios de moda""",MX - Shops,Shops_Wholesales_Accessories_Phrase,Phrase match (close variant),3,3,7.17,2.39,0,Close variant leakage on zero-reg keyword
sudaderas mayoreo,[comprar sudaderas al por mayor],MX - Apparel,Tops_Wholesales_Exact,Exact match (close variant),26,3,7.16,2.39,0,Close variant leakage on zero-reg keyword
trituradora de papel para oficina,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,Exact match (close variant),21,3,7.13,2.38,0,Close variant leakage on zero-reg keyword
trituradora de papel para oficina,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,Exact match (close variant),21,3,7.13,2.38,0,Close variant leakage on zero-reg keyword
promocionales,"""productos para empresas""",MX - Generic,Core_Enterprises_Products_Phrase,Phrase match (close variant),56,3,7.13,2.38,0,Close variant leakage on zero-reg keyword
trituradora de papel para oficina,[trituradora de documentos],MX - Product AMZ,Office_Office Organization_Wholesalers_Exact,Exact match (close variant),21,3,7.13,2.38,0,Close variant leakage on zero-reg keyword
máquina para hacer hielo industrial,"""máquinas de hielo profesionales""",MX - Food,Restaurant_Phrase,Exact match (close variant),15,2,7.11,3.56,0,Close variant leakage on zero-reg keyword
mayorista mexico,[mayorista mexico],MX - Generic,Core_Wholesalers_Exact,Exact match,10,2,7.04,3.52,0,Review — zero-reg keyword spend
escritorio para oficina,[escritorio para oficina],MX - Office,Office Furniture_Exact,Exact match,33,3,6.93,2.31,0,Review — zero-reg keyword spend
carteras por mayoreo cdmx,"""venta mayorista de accesorios de moda""",MX - Shops,Shops_Wholesales_Accessories_Phrase,Phrase match (close variant),1,2,6.92,3.46,0,Close variant leakage on zero-reg keyword
escritorio oficina,[escritorio para oficina],MX - Office,Office Furniture_Exact,Exact match (close variant),21,2,6.92,3.46,0,Close variant leakage on zero-reg keyword
sudaderas a mayoreo,[comprar sudaderas al por mayor],MX - Apparel,Tops_Wholesales_Exact,Exact match (close variant),5,2,6.8,3.4,0,Close variant leakage on zero-reg keyword
comprar para revender,"""compras para negocios""",MX - Generic,Enterprises_Buy_Phrase,Phrase match (close variant),8,3,6.79,2.26,0,Close variant leakage on zero-reg keyword
audifonos mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),12,5,6.75,1.35,0,Close variant leakage on zero-reg keyword
tazas para sublimar por mayoreo,"""proveedores tazas""",MX - Food,Kitchen Tools_Suppliers_Phrase,Phrase match (close variant),37,4,6.67,1.67,0,Close variant leakage on zero-reg keyword
venta de maquillaje por mayoreo,[proveedor de maquillaje],MX - Beauty,Makeup_Supplier_Exact,Exact match (close variant),16,6,6.61,1.1,0,Close variant leakage on zero-reg keyword
venta mayoreo mexico,[mayorista mexico],MX - Generic,Core_Wholesalers_Exact,Exact match (close variant),4,2,6.52,3.26,0,Close variant leakage on zero-reg keyword
mercado libre mayoristas,"""compras para empresas""",MX - Generic,Enterprises_Purchasing_Phrase,Phrase match (close variant),1,2,6.52,3.26,0,Close variant leakage on zero-reg keyword
cosas de mayoreo,[artículos al por mayor],MX - Generic,Wholesales_Products_Exact,Exact match (close variant),10,2,6.39,3.2,0,Close variant leakage on zero-reg keyword
accesorios de oficina,[accesorios de oficina],MX - Office,Generic_Exact,Exact match,26,6,6.32,1.05,0,"Multiple clicks, zero-reg keyword"
materiales para construccion,"""suministro de material de construcción""",MX - Crafts,Professional Tools_Procurement_Phrase,Exact match (close variant),12,2,6.28,3.14,0,Close variant leakage on zero-reg keyword
donde comprar croquetas a precio de fábrica,"""venta al por mayor de alimentos para mascotas""",MX - Shops,Shops_Wholesales_Pet Shop_Phrase,Phrase match (close variant),35,3,6.25,2.08,0,Close variant leakage on zero-reg keyword
proveedores de productos de belleza,[productos de belleza al por mayor],MX - Beauty,Makeup_Wholesale_Exact,Exact match (close variant),19,4,6.14,1.54,0,Close variant leakage on zero-reg keyword
productos de mayoreo,[artículos al por mayor],MX - Generic,Wholesales_Products_Exact,Exact match (close variant),25,3,6.12,2.04,0,Close variant leakage on zero-reg keyword
loctite distribuidores,"""proveedor de pegamento""",MX - Crafts,Professional Tools_Supplier_Phrase,Phrase match (close variant),2,2,6.1,3.05,0,Close variant leakage on zero-reg keyword
facturacion en amazon,"""facturacion en amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match,11,2,6.08,3.04,0,Review — zero-reg keyword spend
proveedores maquillaje,[proveedor de maquillaje],MX - Beauty,Makeup_Supplier_Exact,Exact match (close variant),5,2,6.07,3.04,0,Close variant leakage on zero-reg keyword
productos de belleza mayoreo,[productos de belleza al por mayor],MX - Beauty,Makeup_Wholesale_Exact,Exact match (close variant),13,4,6.05,1.51,0,Close variant leakage on zero-reg keyword
sillas para bar,"""sillas de bar""",MX - Food,Furniture_Restaurant_Phrase,Exact match (close variant),12,5,6.04,1.21,0,Close variant leakage on zero-reg keyword
memoria usb mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),26,4,6.0,1.5,0,Close variant leakage on zero-reg keyword
freidora industrial de gas,"""suministros para hostelería""",MX - Food,Generic_Phrase,Phrase match (close variant),10,2,5.92,2.96,0,Close variant leakage on zero-reg keyword
pantallas mayoreo,"""productos electrónicos al por mayor""",MX - Shops,Shops_Wholesales_Electronics_Phrase,Phrase match (close variant),4,3,5.91,1.97,0,Close variant leakage on zero-reg keyword
proveedores mayoristas méxico,[mayorista mexico],MX - Generic,Core_Wholesalers_Exact,Exact match (close variant),62,7,5.91,0.84,0,Close variant leakage on zero-reg keyword
hoodies mayoreo,"""distribuidores de sudaderas""",MX - Apparel,Tops_Distributor_Phrase,Phrase match (close variant),9,3,5.88,1.96,0,Close variant leakage on zero-reg keyword
sofas para bares y discotecas,"""muebles para bar""",MX - Food,Furniture_Restaurant_Phrase,Phrase match (close variant),3,4,5.86,1.47,0,Close variant leakage on zero-reg keyword
venta de productos de limpieza por mayoreo,[mayoristas de artículos de limpieza],MX - Janitorial,Wholesalers_Exact,Exact match (close variant),18,4,5.79,1.45,0,Close variant leakage on zero-reg keyword
catálogo mayoreo trastes de plastico,"""catálogo proveedor""",MX - Generic,Catalog_Suppliers_Phrase,Phrase match (close variant),2,2,5.76,2.88,0,Close variant leakage on zero-reg keyword
productos para revender directo de fábrica méxico,"""compras para negocios""",MX - Generic,Enterprises_Buy_Phrase,Phrase match (close variant),13,3,5.72,1.91,0,Close variant leakage on zero-reg keyword
proveedores de croquetas para perro mayoreo,"""venta al por mayor de alimentos para mascotas""",MX - Shops,Shops_Wholesales_Pet Shop_Phrase,Phrase match (close variant),8,2,5.71,2.86,0,Close variant leakage on zero-reg keyword
tenis por mayoreo originales,"""distribuidores de calzado""",MX - Shops,Shops_Distributors_Clothing_Phrase,Phrase match (close variant),4,3,5.67,1.89,0,Close variant leakage on zero-reg keyword
ropa para mascotas mayoreo,[Ropa para Mascotas al por Mayor],MX - Pets,Apparel_Wholesales_Exact,Exact match (close variant),6,2,5.66,2.83,0,Close variant leakage on zero-reg keyword
latas felix mayoreo,"""venta al por mayor de alimentos para mascotas""",MX - Shops,Shops_Wholesales_Pet Shop_Phrase,Phrase match (close variant),6,3,5.65,1.88,0,Close variant leakage on zero-reg keyword
europages b2b,"""productos b2b""",MX - Generic,B2B_Products_Phrase,Phrase match (close variant),2,2,5.64,2.82,0,Close variant leakage on zero-reg keyword
remate de bancos para barra,"""muebles para bar""",MX - Food,Furniture_Restaurant_Phrase,Phrase match (close variant),4,3,5.54,1.85,0,Close variant leakage on zero-reg keyword
proveedores para emprender,[proveedores para negocios],MX - Generic,Suppliers_Enterprises_Exact,Exact match (close variant),4,2,5.52,2.76,0,Close variant leakage on zero-reg keyword
pashminas mayoreo,"""venta mayorista de accesorios de moda""",MX - Shops,Shops_Wholesales_Accessories_Phrase,Phrase match (close variant),42,4,5.51,1.38,0,Close variant leakage on zero-reg keyword
proveedor de alimentos para mascotas,"""venta al por mayor de alimentos para mascotas""",MX - Shops,Shops_Wholesales_Pet Shop_Phrase,Exact match (close variant),6,2,5.48,2.74,0,Close variant leakage on zero-reg keyword
proveedores de tenis originales por mayoreo,"""distribuidores de calzado""",MX - Shops,Shops_Distributors_Clothing_Phrase,Phrase match (close variant),17,3,5.47,1.82,0,Close variant leakage on zero-reg keyword
amazon merch,"""merch by amazon""",MX - Invoice AMZ,Invoice_Phrase,Exact match (close variant),39,4,5.46,1.37,0,Close variant leakage on zero-reg keyword
máquina de hielo para negocio,"""máquinas de hielo profesionales""",MX - Food,Restaurant_Phrase,Exact match (close variant),40,5,5.45,1.09,0,Close variant leakage on zero-reg keyword
